CountyName ,Race/Ethnicity,PeopleVaccinated,PeopleFullyVaccinated,TotalVaccinations,CountyNames
Calhoun,White,4344,3855,8095,Calhoun
Callahan,Asian,41,37,75,Callahan
Callahan,Black,19,11,30,Callahan
Callahan,Hispanic,408,336,747,Callahan
Callahan,Other,457,416,934,Callahan
Callahan,Unknown,565,501,1105,Callahan
Callahan,White,3906,3490,7358,Callahan
Cameron,Asian,988,903,1825,Cameron
Cameron,Black,635,561,1033,Cameron
Cameron,Hispanic,235849,203503,441888,Cameron
Cameron,Other,19811,17094,38862,Cameron
Cameron,Unknown,27714,24170,54144,Cameron
Cameron,White,42574,37183,81065,Cameron
Camp,Asian,48,42,90,Camp
Camp,Black,757,645,1416,Camp
Camp,Hispanic,1166,923,2060,Camp
Camp,Other,678,611,1398,Camp
Camp,Unknown,281,240,521,Camp
Camp,White,2746,2416,5316,Camp
Carson,Asian,14,12,28,Carson
Carson,Black,6,5,9,Carson
Carson,Hispanic,170,138,314,Carson
Carson,Other,185,168,362,Carson
Carson,Unknown,278,248,549,Carson
Carson,White,1470,1265,2782,Carson
Cass,Asian,62,55,117,Cass
Cass,Black,1614,1404,2961,Cass
Cass,Hispanic,627,546,1186,Cass
Cass,Other,1377,1256,2767,Cass
Cass,Unknown,506,356,781,Cass
Cass,White,6588,5820,12016,Cass
Castro,Asian,7,7,14,Castro
Castro,Black,36,27,66,Castro
Castro,Hispanic,2020,1631,3661,Castro
Castro,Other,176,138,323,Castro
Castro,Unknown,216,168,385,Castro
Castro,White,915,801,1812,Castro
Chambers,Asian,436,394,824,Chambers
Chambers,Black,1609,1394,3057,Chambers
Chambers,Hispanic,4164,3545,7737,Chambers
Chambers,Other,2574,2251,5027,Chambers
Chambers,Unknown,882,691,1574,Chambers
Chambers,White,12127,10635,22972,Chambers
Cherokee,Asian,129,116,234,Cherokee
Cherokee,Black,2531,2268,4732,Cherokee
Cherokee,Hispanic,4205,3503,7463,Cherokee
Cherokee,Other,2363,2092,4651,Cherokee
Cherokee,Unknown,1359,1172,2444,Cherokee
Cherokee,White,10927,9793,20735,Cherokee
Childress,Asian,44,39,82,Childress
Childress,Black,312,300,522,Childress
Childress,Hispanic,615,566,1088,Childress
Childress,Other,480,444,799,Childress
Childress,Unknown,125,95,217,Childress
Childress,White,2053,1936,3958,Childress
Clay,Asian,16,16,34,Clay
Clay,Black,21,20,41,Clay
Clay,Hispanic,203,182,399,Clay
