ObjectId,Category,Category_Description,General_Population,At_Least_One_Dose,Fully_Vaccinated,Note,Date
147,Race/Ethnicity,NH Other,24099,162218,130258,"VA data included, DOD data not included",2021/08/10 05:00:00+00
148,Race/Ethnicity,Unknown,,96361,66972,"VA data included, DOD data not included",2021/08/10 05:00:00+00
149,MultiCat Age Groups,15-Dec,,54412,35502,VA and DOD data not included,2021/08/10 05:00:00+00
150,MultiCat Age Groups,16-18,,50790,38129,VA and DOD data not included,2021/08/10 05:00:00+00
151,Gender,Male,736913,503861,389354,"VA data included, DOD data not included",2021/06/22 05:00:00+00
152,5Cat Age Groups,18-49,898710,529326,447496,VA and DOD data included,2021/07/06 05:00:00+00
153,Gender,Other,,208,182,"VA data included, DOD data not included",2021/06/22 05:00:00+00
154,Gender,Unknown,,2633,2007,"VA data included, DOD data not included",2021/06/22 05:00:00+00
155,Race/Ethnicity,Hispanic,906742,472062,386454,"VA data included, DOD data not included",2021/06/22 05:00:00+00
156,Race/Ethnicity,NH White,417222,315561,261966,"VA data included, DOD data not included",2021/06/22 05:00:00+00
157,Race/Ethnicity,NH Asian,43680,30150,25642,"VA data included, DOD data not included",2021/06/22 05:00:00+00
158,Race/Ethnicity,NH Black,115979,46415,33219,"VA data included, DOD data not included",2021/06/22 05:00:00+00
159,Race/Ethnicity,NH Other,24099,127011,97795,"VA data included, DOD data not included",2021/06/22 05:00:00+00
160,Race/Ethnicity,Unknown,,90154,62291,"VA data included, DOD data not included",2021/06/22 05:00:00+00
161,MultiCat Age Groups,15-Dec,,34266,20137,VA and DOD data not included,2021/06/22 05:00:00+00
162,MultiCat Age Groups,16-18,,40019,30732,VA and DOD data not included,2021/06/22 05:00:00+00
163,MultiCat Age Groups,19-29,,161584,130823,VA and DOD data not included,2021/06/22 05:00:00+00
164,MultiCat Age Groups,30-39,,165473,138303,VA and DOD data not included,2021/06/22 05:00:00+00
165,MultiCat Age Groups,40-49,,170232,143850,VA and DOD data not included,2021/06/22 05:00:00+00
166,MultiCat Age Groups,50-59,,173789,149738,VA and DOD data not included,2021/06/22 05:00:00+00
167,MultiCat Age Groups,60-64,,81495,71058,VA and DOD data not included,2021/06/22 05:00:00+00
168,MultiCat Age Groups,65-75,,138216,121621,VA and DOD data not included,2021/06/22 05:00:00+00
169,MultiCat Age Groups,76-85,,55294,46998,VA and DOD data not included,2021/06/22 05:00:00+00
170,MultiCat Age Groups,86-95,,17183,13182,VA and DOD data not included,2021/06/22 05:00:00+00
171,MultiCat Age Groups,96+,,1501,907,VA and DOD data not included,2021/06/22 05:00:00+00
172,5Cat Age Groups,12+,1661614,1224955,993844,VA and DOD data included,2021/06/29 05:00:00+00
173,5Cat Age Groups,16+,1552823,1188414,970154,VA and DOD data included,2021/06/29 05:00:00+00
174,5Cat Age Groups,18+,1450476,1161836,949511,VA and DOD data included,2021/06/29 05:00:00+00
175,5Cat Age Groups,18-49,898710,520700,439651,VA and DOD data included,2021/06/29 05:00:00+00
176,5Cat Age Groups,50-64,320289,270061,226579,"VA data included, DOD data not included",2021/06/29 05:00:00+00
177,5Cat Age Groups,65+,247843,237001,190310,"VA data included, DOD data not included",2021/06/29 05:00:00+00
178,Gender,Female,769303,583610,494615,"VA data included, DOD data not included",2021/06/29 05:00:00+00
179,Gender,Male,736913,512980,404085,"VA data included, DOD data not included",2021/06/29 05:00:00+00
180,Gender,Other,,206,182,"VA data included, DOD data not included",2021/06/29 05:00:00+00
181,Gender,Unknown,,2444,2009,"VA data included, DOD data not included",2021/06/29 05:00:00+00
182,Race/Ethnicity,Hispanic,906742,479042,397558,"VA data included, DOD data not included",2021/06/29 05:00:00+00
183,Race/Ethnicity,NH White,417222,319932,267838,"VA data included, DOD data not included",2021/06/29 05:00:00+00
184,Race/Ethnicity,NH Asian,43680,30469,26264,"VA data included, DOD data not included",2021/06/29 05:00:00+00
185,Race/Ethnicity,NH Black,115979,47401,34421,"VA data included, DOD data not included",2021/06/29 05:00:00+00
186,Race/Ethnicity,NH Other,24099,131823,109441,"VA data included, DOD data not included",2021/06/29 05:00:00+00
187,Race/Ethnicity,Unknown,,90573,65369,"VA data included, DOD data not included",2021/06/29 05:00:00+00
188,MultiCat Age Groups,15-Dec,,36541,23690,VA and DOD data not included,2021/06/29 05:00:00+00
189,MultiCat Age Groups,16-18,,41270,32356,VA and DOD data not included,2021/06/29 05:00:00+00
190,MultiCat Age Groups,19-29,,165001,136294,VA and DOD data not included,2021/06/29 05:00:00+00
191,MultiCat Age Groups,30-39,,168439,143282,VA and DOD data not included,2021/06/29 05:00:00+00
192,MultiCat Age Groups,40-49,,172568,148362,VA and DOD data not included,2021/06/29 05:00:00+00
193,MultiCat Age Groups,50-59,,175747,153727,VA and DOD data not included,2021/06/29 05:00:00+00
194,MultiCat Age Groups,60-64,,82143,72852,VA and DOD data not included,2021/06/29 05:00:00+00
195,MultiCat Age Groups,65-75,,139182,124604,VA and DOD data not included,2021/06/29 05:00:00+00
196,MultiCat Age Groups,76-85,,55799,49324,VA and DOD data not included,2021/06/29 05:00:00+00
197,MultiCat Age Groups,86-95,,17484,15137,VA and DOD data not included,2021/06/29 05:00:00+00
198,MultiCat Age Groups,96+,,1543,1245,VA and DOD data not included,2021/06/29 05:00:00+00
199,5Cat Age Groups,12+,1661614,1225427,1012789,VA and DOD data included,2021/07/06 05:00:00+00
200,5Cat Age Groups,16+,1552823,1186365,985867,VA and DOD data included,2021/07/06 05:00:00+00
201,5Cat Age Groups,18+,1450476,1158889,964228,VA and DOD data included,2021/07/06 05:00:00+00
202,5Cat Age Groups,50-64,320289,272167,228694,"VA data included, DOD data not included",2021/07/06 05:00:00+00
203,5Cat Age Groups,65+,247843,238064,191505,"VA data included, DOD data not included",2021/07/06 05:00:00+00
204,Gender,Female,769303,591197,502409,"VA data included, DOD data not included",2021/07/06 05:00:00+00
205,Gender,Male,736913,520596,411672,"VA data included, DOD data not included",2021/07/06 05:00:00+00
206,Gender,Other,,208,183,"VA data included, DOD data not included",2021/07/06 05:00:00+00
207,Gender,Unknown,,2451,2009,"VA data included, DOD data not included",2021/07/06 05:00:00+00
208,Race/Ethnicity,Hispanic,906742,485748,404241,"VA data included, DOD data not included",2021/07/06 05:00:00+00
209,Race/Ethnicity,NH White,417222,323608,271582,"VA data included, DOD data not included",2021/07/06 05:00:00+00
210,Race/Ethnicity,NH Asian,43680,30770,26641,"VA data included, DOD data not included",2021/07/06 05:00:00+00
211,Race/Ethnicity,NH Black,115979,48216,35166,"VA data included, DOD data not included",2021/07/06 05:00:00+00
212,Race/Ethnicity,NH Other,24099,135154,113052,"VA data included, DOD data not included",2021/07/06 05:00:00+00
213,Race/Ethnicity,Unknown,,90956,65591,"VA data included, DOD data not included",2021/07/06 05:00:00+00
214,MultiCat Age Groups,15-Dec,,39062,26922,VA and DOD data not included,2021/07/06 05:00:00+00
215,MultiCat Age Groups,16-18,,42597,33705,VA and DOD data not included,2021/07/06 05:00:00+00
216,MultiCat Age Groups,19-29,,168550,139270,VA and DOD data not included,2021/07/06 05:00:00+00
217,MultiCat Age Groups,30-39,,170997,145758,VA and DOD data not included,2021/07/06 05:00:00+00
218,MultiCat Age Groups,40-49,,174658,150402,VA and DOD data not included,2021/07/06 05:00:00+00
219,MultiCat Age Groups,50-59,,177265,155257,VA and DOD data not included,2021/07/06 05:00:00+00
220,MultiCat Age Groups,60-64,,82731,73437,VA and DOD data not included,2021/07/06 05:00:00+00
221,MultiCat Age Groups,65-75,,139869,125392,VA and DOD data not included,2021/07/06 05:00:00+00
222,MultiCat Age Groups,76-85,,56066,49617,VA and DOD data not included,2021/07/06 05:00:00+00
223,MultiCat Age Groups,86-95,,17576,15234,VA and DOD data not included,2021/07/06 05:00:00+00
224,MultiCat Age Groups,96+,,1560,1262,VA and DOD data not included,2021/07/06 05:00:00+00
225,5Cat Age Groups,12+,1661614,1241765,1028077,VA and DOD data included,2021/07/13 05:00:00+00
226,5Cat Age Groups,16+,1552823,1200725,999208,VA and DOD data included,2021/07/13 05:00:00+00
