ObjectId,Category,Category_Description,General_Population,At_Least_One_Dose,Fully_Vaccinated,Note,Date
593,MultiCat Age Groups,16-18,80937,61190,50329,VA and DOD data not included,2021/10/13 05:00:00+00
594,MultiCat Age Groups,19-29,,223701,185388,VA and DOD data not included,2021/10/13 05:00:00+00
595,MultiCat Age Groups,30-39,,216609,185493,VA and DOD data not included,2021/10/13 05:00:00+00
596,MultiCat Age Groups,40-49,,209473,182124,VA and DOD data not included,2021/10/13 05:00:00+00
597,MultiCat Age Groups,50-59,,202675,179747,VA and DOD data not included,2021/10/13 05:00:00+00
598,MultiCat Age Groups,60-64,,92114,82742,VA and DOD data not included,2021/10/13 05:00:00+00
599,MultiCat Age Groups,65-75,,154286,138232,VA and DOD data not included,2021/10/13 05:00:00+00
600,MultiCat Age Groups,76-85,,62307,54712,VA and DOD data not included,2021/10/13 05:00:00+00
601,MultiCat Age Groups,86-95,,19757,17127,VA and DOD data not included,2021/10/13 05:00:00+00
602,MultiCat Age Groups,96+,,1801,1465,VA and DOD data not included,2021/10/13 05:00:00+00
603,5Cat Age Groups,12+,1672349,1533078,1273327,VA and DOD data included,2021/10/20 05:00:00+00
604,5Cat Age Groups,16+,1552823,1460697,1214730,VA and DOD data included,2021/10/20 05:00:00+00
605,5Cat Age Groups,18+,1511890,1419868,1181029,VA and DOD data included,2021/10/20 05:00:00+00
606,5Cat Age Groups,18-49,898710,673984,573889,VA and DOD data included,2021/10/20 05:00:00+00
607,5Cat Age Groups,50-64,336785,314960,263722,"VA data included, DOD data not included",2021/10/20 05:00:00+00
608,5Cat Age Groups,65+,264903,271455,212729,"VA data included, DOD data not included",2021/10/20 05:00:00+00
609,Gender,Female,769303,718285,616213,"VA data included, DOD data not included",2021/10/20 05:00:00+00
610,Gender,Male,736913,669817,524420,"VA data included, DOD data not included",2021/10/20 05:00:00+00
611,Gender,Other,,206,183,"VA data included, DOD data not included",2021/10/20 05:00:00+00
612,Gender,Unknown,,2261,1822,"VA data included, DOD data not included",2021/10/20 05:00:00+00
613,Race/Ethnicity,Hispanic,906742,593812,498536,"VA data included, DOD data not included",2021/10/20 05:00:00+00
614,Race/Ethnicity,NH White,417222,379617,311626,"VA data included, DOD data not included",2021/10/20 05:00:00+00
615,Race/Ethnicity,NH Asian,43680,32946,28784,"VA data included, DOD data not included",2021/10/20 05:00:00+00
616,Race/Ethnicity,NH Black,115979,62587,44748,"VA data included, DOD data not included",2021/10/20 05:00:00+00
617,Race/Ethnicity,NH Other,24099,233421,200847,"VA data included, DOD data not included",2021/10/20 05:00:00+00
618,Race/Ethnicity,Unknown,,88186,58097,"VA data included, DOD data not included",2021/10/20 05:00:00+00
619,MultiCat Age Groups,15-Dec,109159,72381,58597,VA and DOD data not included,2021/10/20 05:00:00+00
620,MultiCat Age Groups,16-18,80937,61493,50656,VA and DOD data not included,2021/10/20 05:00:00+00
621,MultiCat Age Groups,19-29,,225022,186958,VA and DOD data not included,2021/10/20 05:00:00+00
622,MultiCat Age Groups,30-39,,217859,186814,VA and DOD data not included,2021/10/20 05:00:00+00
623,MultiCat Age Groups,40-49,,210439,183162,VA and DOD data not included,2021/10/20 05:00:00+00
624,MultiCat Age Groups,50-59,,203502,180603,VA and DOD data not included,2021/10/20 05:00:00+00
625,MultiCat Age Groups,60-64,,92535,83119,VA and DOD data not included,2021/10/20 05:00:00+00
626,MultiCat Age Groups,65-75,,155300,138929,VA and DOD data not included,2021/10/20 05:00:00+00
627,MultiCat Age Groups,76-85,,62874,55049,VA and DOD data not included,2021/10/20 05:00:00+00
628,MultiCat Age Groups,86-95,,19958,17269,VA and DOD data not included,2021/10/20 05:00:00+00
629,MultiCat Age Groups,96+,,1824,1482,VA and DOD data not included,2021/10/20 05:00:00+00
